,gen,nevals,avg,min,max
0,0,0,0.5,0.5,0.5
1,1,339,0.500312,0.408,0.636
2,2,339,0.501796,0.5,0.636
3,3,334,0.504408,0.362,0.644
4,4,348,0.509612,0.374,0.644
5,5,346,0.518344,0.364,0.644
6,6,340,0.533436,0.366,0.642
7,7,342,0.550596,0.368,0.65
8,8,347,0.56046,0.354,0.65
9,9,339,0.568684,0.354,0.65
10,10,344,0.574624,0.356,0.65
11,11,354,0.577624,0.344,0.672
12,12,369,0.575752,0.356,0.674
13,13,352,0.5795560000000001,0.326,0.65
14,14,354,0.5776079999999999,0.362,0.65
15,15,369,0.5782200000000001,0.364,0.65
16,16,350,0.5779880000000001,0.358,0.65
17,17,338,0.581688,0.37,0.652
18,18,360,0.5778519999999999,0.352,0.652
19,19,350,0.58202,0.36,0.652
20,20,349,0.580356,0.366,0.662
21,21,338,0.5811320000000001,0.36,0.664
22,22,360,0.5804839999999999,0.356,0.668
23,23,353,0.5829439999999999,0.364,0.67
24,24,364,0.580392,0.346,0.68
25,25,341,0.585032,0.346,0.67
26,26,368,0.58394,0.338,0.67
27,27,346,0.589288,0.326,0.694
28,28,350,0.5891559999999999,0.366,0.698
29,29,350,0.589932,0.358,0.698
30,30,371,0.5886760000000001,0.318,0.698
31,31,360,0.5901279999999999,0.356,0.692
32,32,359,0.5922360000000001,0.364,0.692
33,33,353,0.5931879999999999,0.316,0.692
34,34,344,0.5982080000000001,0.356,0.682
35,35,331,0.6046600000000001,0.35,0.682
36,36,354,0.595028,0.328,0.684
37,37,338,0.601796,0.368,0.682
38,38,358,0.5954559999999999,0.35,0.682
39,39,334,0.59964,0.344,0.682
40,40,353,0.597904,0.32,0.682
41,41,359,0.594136,0.364,0.682
42,42,333,0.60072,0.346,0.69
43,43,340,0.602,0.332,0.69
44,44,346,0.5980280000000001,0.318,0.704
45,45,332,0.602408,0.326,0.704
46,46,341,0.5992000000000001,0.334,0.704
47,47,376,0.5942160000000001,0.304,0.704
48,48,350,0.602392,0.342,0.708
49,49,356,0.600004,0.348,0.708
50,50,361,0.6052519999999999,0.318,0.708
51,51,345,0.612776,0.324,0.708
52,52,335,0.6126320000000001,0.326,0.708
53,53,336,0.612116,0.304,0.71
54,54,367,0.618188,0.324,0.714
55,55,337,0.627372,0.32,0.714
56,56,345,0.624644,0.348,0.714
57,57,358,0.619024,0.31,0.714
58,58,344,0.628208,0.31,0.714
59,59,368,0.6236479999999999,0.324,0.714
60,60,362,0.6287079999999999,0.33,0.714
61,61,328,0.639448,0.342,0.714
62,62,350,0.6304200000000001,0.312,0.714
63,63,363,0.6293920000000001,0.304,0.714
64,64,350,0.629544,0.324,0.714
